t,x,y,radius,area
0.0,319.5,239.5,399.30010986328125,306081.0
0.6693887710571289,206.5,193.5,7.905794143676758,83.5
0.7034192085266113,221.5,150.0,8.732224464416504,67.0
0.7414910793304443,257.0,136.5,14.009025573730469,271.0
0.7691664695739746,287.4401550292969,132.27816772460938,14.942816734313965,463.0
0.8056542873382568,299.0,133.0,15.811488151550293,389.5
0.837230920791626,316.0,141.5,18.117769241333008,487.5
0.873274564743042,340.0740661621094,163.1481475830078,18.19222640991211,475.5
0.9052302837371826,353.0,191.0,19.105072021484375,373.0
0.9374692440032959,347.83599853515625,235.32400512695312,17.3631649017334,290.5
0.9732704162597656,418.0,115.5,13.086352348327637,153.5
1.005324363708496,85.0,403.5,60.55792236328125,1951.5
1.04132080078125,77.5,383.5,82.53797149658203,2009.5
1.0732100009918213,419.47454833984375,115.80332946777344,15.268152236938477,561.5
1.1092529296875,352.0,205.5,76.52623748779297,1123.5
1.1413452625274658,321.8115539550781,209.78945922851562,107.71160888671875,2321.5
1.1773605346679688,287.74969482421875,192.02284240722656,121.05188751220703,3439.0
1.209733247756958,273.6092834472656,196.88079833984375,121.12014770507812,4536.5
1.2452633380889893,271.32061767578125,186.695556640625,127.5223159790039,3532.5
1.2772800922393799,269.1553955078125,193.48196411132812,122.03309631347656,5674.5
1.309335470199585,266.6659240722656,191.96060180664062,123.3381576538086,4909.0
1.345341444015503,261.0,203.5,120.11358642578125,3689.5
1.3773002624511719,186.0,216.0,62.16922378540039,1063.5
1.4140129089355469,349.0,220.0,18.027854919433594,458.0
1.4452390670776367,345.9876403808594,245.3950653076172,16.190589904785156,261.5
1.481248140335083,79.5,404.0,35.89229965209961,217.0
1.5132396221160889,79.5,404.0,35.89229965209961,214.0
1.5494883060455322,259.6551818847656,280.3793029785156,12.660950660705566,287.5
1.5822105407714844,234.0,270.0,14.4223051071167,175.5
1.6142590045928955,212.0,242.0,13.601571083068848,315.0
1.6501197814941406,204.0,206.5,15.33796215057373,317.0
1.68206787109375,211.0,173.0,19.235483169555664,408.0
1.7173216342926025,234.94381713867188,146.21348571777344,18.571348190307617,544.5
1.7493762969970703,260.0,133.0,18.027854919433594,484.0
1.7852764129638672,287.8783264160156,130.38937377929688,16.768112182617188,527.0
1.8176629543304443,303.0,134.5,16.37843894958496,531.0
1.8533375263214111,325.30401611328125,145.84744262695312,21.46710777282715,582.5
1.8851895332336426,348.5,173.0,19.52572250366211,517.0
1.9172391891479492,352.0,214.0,21.023895263671875,406.5
1.9532978534698486,343.5,248.5,12.349188804626465,118.5
2.021690607070923,271.2073059082031,281.3536682128906,10.83916187286377,236.5
